Search name,Object,Epoch (TDB),TP (TDB),e,i (deg),w (deg),Node (deg),q (AU),Q (AU),P (yr),MOID (AU),A1 (AU/d^2),A2 (AU/d^2),A3 (AU/d^2),DT (d),ref,Object_name
Hartley 2,103P/Hartley 2,56981,2457863.823,0.693780472,13.60427243,181.3222858,219.7487451,1.064195154,5.89,6.48,0.072005,,,,,252,103P/Hartley 2
Kowal 2,104P/Kowal 2,57090,2457473.288,0.638520361,10.25097305,200.6509533,235.4414959,1.178758464,5.34,5.89,0.202197,2.26E-08,-5.48E-09,1.33E-09,,24,104P/Kowal 2
Swift-Tuttle,109P/Swift-Tuttle,50000,2448968.5,0.963225755,113.453817,152.9821676,139.3811921,0.959516155,51.22,133.28,0.000892,,,,,32,109P/Swift-Tuttle
de Vico,122P/de Vico,50280,2449996.5,0.962708887,85.38275311,12.99609194,79.62450069,0.659337336,34.7,74.35,0.316817,,,,,27,122P/de Vico
Machholz 2-A,141P/Machholz 2-A,53480,2453429.749,0.750123959,12.79506334,149.2844343,246.1615904,0.752849878,5.27,5.23,0.105492,-2.81E-09,1.03E-10,5.99E-10,,75,141P/Machholz 2-A
Machholz 2-D,141P/Machholz 2-D,51520,2451522.455,0.751062411,12.81184124,149.2918108,246.1336343,0.749005694,5.27,5.22,0.107814,2.27E-08,5.86E-09,,,11,141P/Machholz 2-D
Hartley-IRAS,161P/Hartley-IRAS,52749,2453542.365,0.835073846,95.69806815,47.13845023,1.415670065,1.27343339,14.17,21.46,0.447763,,,,,59,161P/Hartley-IRAS
Siding Spring,162P/Siding Spring,53529,2453319.778,0.597243635,27.84477766,356.3636966,31.25192352,1.227689026,4.87,5.32,0.232183,,,,,86,162P/Siding Spring
NEAT,169P/NEAT,54296,2453631.013,0.766927719,11.30444069,217.9760878,176.2204118,0.606980751,4.6,4.2,0.142644,,,,,114,169P/NEAT
Barnard,177P/Barnard,53542,2453976.192,0.954501107,31.1792882,60.34965167,272.1861491,1.107319662,47.57,120.07,0.31003,,,,,27,177P/Barnard
Shoemaker-Levy 6,181P/Shoemaker-Levy 6,56908,2456818.826,0.707322828,16.98117917,333.7988486,37.67945772,1.123593041,6.55,7.52,0.156355,-2.91E-09,-8.64E-11,,,16,181P/Shoemaker-Levy 6
LONEOS,182P/LONEOS,53241,2454137.333,0.66634233,16.90929665,51.43384257,75.10006349,0.978022459,4.88,5.02,0.109366,,,,,61,182P/LONEOS
Petriew,185P/Petriew,56498,2456153.046,0.699321038,14.00701804,181.9403336,214.0910177,0.932014336,5.27,5.46,0.060833,,1.72E-10,,,43,185P/Petriew
NEAT,189P/NEAT,56364,2456128.957,0.596795547,20.3759014,15.39713787,282.144161,1.177562746,4.66,4.99,0.170302,-7.42E-10,-4.90E-11,,,56,189P/NEAT
LINEAR,197P/LINEAR,56717,2456376.326,0.629660237,25.54272525,188.7289004,66.38824615,1.061393391,4.67,4.85,0.051318,-1.33E-10,1.67E-11,7.17E-11,,46,197P/LINEAR
Barnard-Boattini,206P/Barnard-Boattini,51606,2450626.305,0.688642088,31.97414822,179.5749493,205.2603247,0.978812133,5.31,5.57,0.01839,,,,,12,206P/Barnard-Boattini
NEAT,207P/NEAT,54069,2454776.877,0.756988908,10.14995411,271.195627,200.6742212,0.943996196,6.83,7.66,0.147585,,,,,64,207P/NEAT
LINEAR,209P/LINEAR,55720,2454938.94,0.69237046,19.44782985,150.4693054,65.46431318,0.901668822,4.96,5.02,0.051186,,,,,130,209P/LINEAR
Christensen,210P/Christensen,56908,2456886.746,0.832503263,10.24010578,345.8255534,93.82650012,0.531313913,5.81,5.65,0.170738,2.13E-10,5.23E-11,-6.02E-10,,42,210P/Christensen
LINEAR,217P/LINEAR,54831,2455083.48,0.689642756,12.88188017,246.7754682,125.6220203,1.223482234,6.66,7.83,0.306437,,,,,113,217P/LINEAR
LINEAR,222P/LINEAR,54553,2455075.7,0.726769396,5.14614339,345.4248856,7.132384188,0.780761495,4.93,4.83,0.062285,,,,,31,222P/LINEAR
LINEAR,225P/LINEAR,52717,2452555.598,0.663764463,20.70960946,1.329461349,15.49778451,1.192065517,5.9,6.68,0.194983,,,,,42,225P/LINEAR
LINEAR,249P/LINEAR,54112,2453976.035,0.816148393,8.4340952,64.04057029,240.6460863,0.510585571,5.04,4.63,0.052649,,,,,21,249P/LINEAR
LINEAR,252P/LINEAR,52306,2451613.458,0.672411248,10.38105211,343.2826819,190.9962851,1.001368431,5.11,5.34,0.017389,,,,,25,252P/LINEAR
Levy,255P/Levy,56981,2457876.215,0.668188902,18.26659348,179.6923294,279.7300367,1.00817764,5.07,5.3,0.024517,7.33E-09,-4.15E-09,,,37,255P/Levy
McNaught-Russell,262P/McNaught-Russell,55913,2456265.959,0.815402883,29.07941912,171.1690206,218.0142884,1.280276583,12.59,18.27,0.291456,,,,,39,262P/McNaught-Russell
Gibbs,263P/Gibbs,54246,2454098.266,0.586980396,14.4711765,26.31548584,113.3508576,1.251302076,4.81,5.27,0.284398,,,,,15,263P/Gibbs
